IMG,BUILDING,GRASS,WATER,ROAD,SKY,TREES,PLANTS,FENCE,CAR,BICYCLE,TRUCK,PERSON,CAR_COUNT,BICYCLE_COUNT,TRUCK_COUNT,PERSON_COUNT,MIN_DISTANCE,MAX_DISTANCE,MEAN_DISTANCE,MIN_MIN_DIST,MAX_MIN_DIST,MIN_MAX_DIST,MAX_MAX_DIST,MIN_MEAN_DIST,MAX_MEAN_DIST
bcWTCleUJe7TNT1xj3RWHAa.png,0.1906,0.1965,0.0,0.2065,0.1476,0.1567,0.1018,0.0,0.0,0.0,0.0,0.0002,0,0,0,1,5.0698,76.3373,21.343,0,0,0,0,0,0
ujHJkEgZWqUqk4ESoBKkNQb.png,0.1921,0.0288,0.0,0.3226,0.241,0.0996,0.0406,0.0,0.0012,0.0,0.0724,0.0,1,0,1,0,5.8333,70.0484,21.5628,0,0,0,0,0,0
UvDJafs-J5_8RsuCncDWzwa.png,0.0672,0.0186,0.0,0.3439,0.3695,0.0797,0.0105,0.0274,0.0785,0.0021,0.0,0.0005,8,1,0,3,5.6371,75.7863,27.6755,0,0,0,0,0,1
PVDjLPyPOpNo4_3p056YQAa.png,0.5352,0.0226,0.0,0.2603,0.146,0.0,0.0,0.0,0.035,0.0,0.0,0.0,1,0,0,0,3.0637,67.771,18.7641,1,0,0,0,0,0
ZZoVgpMH5xK0VI6JXv2kGgb.png,0.2189,0.069,0.0,0.2257,0.15,0.2158,0.1111,0.0,0.0096,0.0,0.0,0.0,1,0,0,0,3.6476,70.9231,19.5456,0,0,0,0,0,0
b1I_VyWCwtvWf09MNRCn4Aa.png,0.0,0.4424,0.0,0.0,0.3591,0.0,0.0,0.1969,0.0,0.0,0.0,0.0,0,0,0,0,1.839,61.7921,20.2768,1,0,0,0,0,0
Dk8V1q8Z5RCNgamRUFR9PAa.png,0.2701,0.2454,0.0,0.0812,0.302,0.0457,0.0522,0.0,0.0014,0.0,0.0,0.0,1,0,0,0,5.3381,66.3316,22.8758,0,0,0,0,0,0
VZoS00BlOmqYFYCGAQoYuAa.png,0.1328,0.0672,0.0,0.3203,0.0169,0.4234,0.0,0.0,0.0353,0.0024,0.0,0.0018,1,2,0,5,3.2402,61.2511,19.3127,0,0,0,0,0,0
fS2wAuocBWae6Q_hime8Swa.png,0.8114,0.0,0.0,0.0874,0.0,0.0,0.0,0.0,0.0,0.0626,0.0032,0.0353,0,4,1,4,1.9396,48.4665,11.0467,1,0,0,0,1,0
_lQWNUjWqSVzb1G6aG1TSwb.png,0.1024,0.1426,0.0,0.2152,0.2054,0.2417,0.0269,0.0,0.0605,0.0,0.0,0.0,4,0,0,0,5.3422,79.4785,24.7603,0,0,0,1,0,0
AXhleJr4lXQWG5Jl2j6seAb.png,0.5089,0.0,0.0,0.3025,0.0,0.0,0.0,0.0931,0.0691,0.0,0.0255,0.0008,3,0,1,1,5.6607,50.0607,26.6076,0,0,0,0,0,1
vIR48qcDU8ZND47DvhSzvwa.png,0.5248,0.1577,0.0,0.0,0.1124,0.0718,0.1034,0.0192,0.0,0.0105,0.0,0.0002,0,2,0,1,4.806,55.41,18.593,0,0,0,0,0,0
FJopJPbZZzk1f-7n_44KWAb.png,0.178,0.2882,0.0,0.1251,0.1731,0.1661,0.0618,0.0,0.001,0.0,0.0001,0.0,4,0,1,0,5.407,82.41,24.8511,0,0,0,1,0,0
h037jqH7T9v852PUt_Se_gb.png,0.8005,0.0,0.0,0.0,0.0,0.1995,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.1947,31.1411,9.2178,1,0,1,0,1,0
